date,Artibonite,Centre,Grande_Anse,Nippes,Nord,Nord-Est,Nord-Ouest,Ouest,Sud,Sud-Est
2000-03-01,0,0,0,0,0,0,0,0.28050000667572,0,0
2000-03-02,0,0,0,0,0,0,0,0.20550000667572,0,0
2000-03-03,0,0.495000004768372,9.35749999682109,0.741818167946555,0,0,0,3.02400007247925,8.95333335134718,0.876000022888184
2000-03-04,0,0,1.99749994277954,1.75636369531805,0,0,0.588000011444092,0.350999975204468,1.55833331743876,0.773999977111816
2000-03-05,23.3399997075399,13.9275002082189,15.8025000095367,15.6927278692072,20.1157893883555,22.5438473041241,7.82999992370605,15.3000001430511,13.0566668510437,18.1140007019043
2000-03-06,3.87600003878276,11.7775001923243,4.77249981959661,8.51727286252108,3.68052628165797,3.35538469828092,3.45599998235703,13.4999997138977,8.30666641394297,4.25099997520447
2000-03-07,1.98999999364217,3.52500003576279,1.06499996781349,2.87181819568981,4.87894745876915,5.34461542276236,3.53699998855591,2.66249996423721,2.7066665854719,1.93499999046326
2000-03-08,0,0,0,0,0,0,0,0.5625,0,0.48600001335144
2000-03-09,0.56399998664856,0.270000020662944,4.55499998728434,3.81818168813532,0,0,0,6.46800011396408,6.61666638983621,4.65299997329712
2000-03-10,1.05599999427795,0.8125,0,0.589090954173695,3.96157884597778,2.58923074832329,0,0.4875,1.83499998516507,0
2000-03-11,0,0.167499999205271,0,0,0.915789478703549,1.30153846740723,0,0.625499987602234,0,0
2000-03-12,0,0,0,0,0,0,0,0.88199999332428,0,0
2000-03-13,0,0,0,0,0,0,0,0,0,0
2000-03-14,0,0,0,0,0,0,0,0.259500002861023,0,0
2000-03-15,0,0,0.279999993741512,0,0,0,0,0.471000003814697,0.0799999982118607,0
2000-03-16,0,0,0,0,0,0,0,0.307499980926514,0,0
2000-03-17,0,0,0,1.67999995838512,0,0,0,1.76099996566772,0.256666660308838,0
2000-03-18,0,0,0,0,0,0,0,0,0,0
2000-03-19,0.903999996185303,0,0,0,1.10526310770135,0,0,0,0,0
2000-03-20,0,0,0,0,0,0,0,0,0.0266666660706202,0
2000-03-21,0,0,0,0,0,0,0,0,0,0
2000-03-22,0,0,0,1.53818182511763,0,0,0,0.603000020980835,0.235000001059638,0
2000-03-23,0,0,0,4.73454562100497,0,0,0,0.295499992370605,0.480000019073486,0
2000-03-24,0,0.587499976158142,0,2.1381818597967,0,0,0,2.23050000667572,0.326666673024495,0
2000-03-25,0,1.09999998410543,0,0,0,0,0,0.659999990463257,0,0
2000-03-26,0,0,0,0,0,0,0,0.340499997138977,0,0
2000-03-27,0,0,0,0,0,0,0,0.230999994277954,0,0
2000-03-28,0,0,0,1.91999990289861,0,0,0,0.903000020980835,0.293333318498399,0
2000-03-29,0,5.27250019709269,0,0,0,1.08923075749324,0,0.530999994277954,0,1.05299997329712
2000-03-30,0,2.05999998251597,0,0,0,0,0,0.158999991416931,0,0
2000-03-31,0,0,0,0,0,0,0,1.01850004196167,0,0
2000-04-01,0,0.2824999888738,0,0,0,0,0,7.14900002479553,0,0
2000-04-02,0,0,0,0,0,0,0,0,0,0
2000-04-03,0,0,0,0,0,0,0,0.78899998664856,0,0
2000-04-04,0,0.732499996821086,0,0,0,0,0,0.439499998092651,0,0
2000-04-05,0,0,0,0,0,0,0,0,0,1.36800003051758
2000-04-06,0,0,1.27749999364217,0,0,0,0,0,0,0
2000-04-07,0,0.714999993642171,10.2949999968211,0,0,0.710769213162936,0.986999988555908,0.803999996185303,3.29666677448485,0
2000-04-08,0.548000017801921,0,2.8875000278155,0.970909118652344,1.03421048114174,0,0,0.469500017166138,0.490000009536743,0
2000-04-09,0,0,0.794999996821086,1.58181832053445,0,0,0,17.9774993896484,0.968333356910282,11.4629997253418
2000-04-10,0.82599999109904,1.41250006357829,0.710000018278758,0.970909118652344,3.60157876265676,1.46076913980337,0,1.49700000286102,2.49666663010915,3.08100004196167
2000-04-11,0,2.81250003973643,1.17999998728434,5.40545463562012,0,0,0.225,2.60099997520447,3.76000008318159,11.6459999084473
2000-04-12,6.2639999071757,0,16.167499701182,25.5381807847456,8.51052625555741,2.47846148564265,8.99999990463257,5.74049983024597,24.821665763855,14.7
2000-04-13,0,0,3.212500055631,8.84454553777521,0,0,0,1.62449998855591,6.18333310551114,8.38200016021728
2000-04-14,13.604000155131,1.67499999205271,2.04249999920527,3.72000005028465,5.32578950179251,0.304615387549767,5.19000015258789,4.71000006198883,1.73333334922791,2.77799997329712
2000-04-15,3.0340000629425,0,0.860000014305115,0.970909118652344,3.88736852846648,3.39000008656428,2.19000008106232,2.0909999370575,0.231666670905219,2.69099979400635
2000-04-16,0.6,0,1.11000002423922,0,1.65789473684211,0,0.186000001430511,0.628499984741211,0.363333331214057,0
2000-04-17,4.76199995676676,10.3774998188019,3.33249993125598,1.28454546494917,13.929473475406,5.57769203186035,3.13199996948242,2.11499996185303,7.59166628784604,6.43800010681152
2000-04-18,0,8.77249995867411,1.83999999364217,4.70727278969505,3.06315785960147,2.19230761894813,0.444000005722046,12.5759998321533,3.3483333852556,5.58299975395203
2000-04-19,3.14400008519491,24.039999961853,0,0,4.09421054940475,3.37384612743671,0,2.97000002861023,0,0.464999961853027
2000-04-20,17.3300001780192,35.1549997329712,17.7749999364217,12.3790907426314,5.94000020780061,2.29384613037109,0,34.9710005760193,10.6966667705112,20.0940004348755
2000-04-21,3.4799999554952,27.3274998664856,1.58999999364217,2.77090904929421,21.7389466888026,32.1161532035241,0,12.0434999108315,1.63499999046326,6.99900035858154
