date,Artibonite,Centre,Grande Anse,Nippes,Nord,Nord-Est,Nord-Ouest,Ouest,Sud,Sud-Est
2010-10-23,6234,507,0,0,17,0,2,540,0,0
2010-10-30,7603,1245,0,0,145,0,518,1938,0,4
2010-11-6,4835,811,0,1,437,0,819,713,0,2
2010-11-13,8589,1247,0,0,1400,6,2243,3312,11,1
2010-11-20,7097,1750,25,10,2830,82,2592,7000,44,9
2010-11-27,5025,1460,143,24,4134,134,2241,5383,123,26
2010-12-4,3763,1442,668,37,3161,350,2005,5674,261,55
2010-12-11,2451,1385,1553,96,3037,470,1634,6733,533,494
2010-12-18,2429,1861,2703,251,3304,1445,1604,9777,1475,215
2010-12-25,2583,2106,2464,278,2633,1321,1117,9088,861,201
2011-1-1,1963,1390,1812,300,1733,966,906,7019,839,253
2011-1-8,1832,982,1184,328,1319,774,629,5672,778,190
2011-1-15,1711,889,780,342,1010,864,465,5079,874,138
2011-1-22,1647,764,736,376,910,892,457,5108,875,242
2011-1-29,1422,726,643,282,878,689,291,4422,1086,183
2011-2-5,1323,497,460,262,634,742,240,2872,908,161
2011-2-12,996,597,305,182,419,624,187,3022,604,141
2011-2-19,879,611,328,176,406,536,176,2998,622,194
2011-2-26,809,635,322,146,541,391,171,2573,608,140
2011-3-5,718,841,221,130,507,414,162,2430,448,109
2011-3-12,665,869,179,118,320,332,154,2556,695,116
2011-3-19,526,973,173,125,343,263,113,2482,1088,67
2011-3-26,383,659,138,37,257,310,131,2692,434,58
2011-4-2,408,673,134,33,266,311,185,2197,321,74
2011-4-9,450,720,209,35,265,362,210,1584,218,42
2011-4-16,513,717,258,44,247,363,151,1406,214,162
2011-4-23,503,679,298,46,263,231,149,1659,398,59
2011-4-30,550,608,244,72,375,283,105,1897,390,39
2011-5-7,678,508,334,84,284,419,84,2876,390,51
2011-5-14,556,459,278,125,231,340,65,3668,474,151
2011-5-21,370,694,228,74,207,271,53,3659,344,163
2011-5-28,323,692,243,124,188,218,57,4737,379,126
2011-6-4,1171,1273,444,128,277,285,64,8120,463,240
2011-6-11,1719,1154,526,123,399,402,100,9359,384,201
2011-6-18,2175,1728,483,81,419,507,136,6786,322,178
2011-6-25,3076,1034,561,107,499,439,152,5336,224,160
2011-7-2,3265,951,456,84,645,434,289,3980,156,78
2011-7-9,2801,1124,281,71,677,278,338,3261,188,144
2011-7-16,2823,478,151,89,713,265,316,2588,169,259
2011-7-23,2252,838,68,46,600,335,1827,2727,184,199
2011-7-30,1849,361,68,61,556,520,1108,2374,141,153
2011-8-6,1697,662,63,82,461,430,454,2654,133,126
2011-8-13,1255,445,49,79,384,468,312,2060,168,84
2011-8-20,992,301,23,80,273,345,210,1852,191,62
2011-8-27,748,243,55,104,227,380,220,1634,254,96
2011-9-3,725,157,49,116,186,381,215,1779,692,116
2011-9-10,728,229,30,169,256,349,192,2006,804,126
2011-9-17,604,257,29,129,266,544,160,2479,607,104
2011-9-24,523,189,17,117,340,517,123,2872,479,97
2011-10-1,561,248,39,122,519,477,150,2752,609,115
2011-10-8,550,263,72,183,730,420,168,2756,891,87
2011-10-15,602,149,94,163,701,513,179,2674,949,139
2011-10-22,541,196,151,149,845,581,127,2311,835,150
2011-10-29,619,112,207,172,1226,514,115,2435,686,209
2011-11-5,516,63,176,146,1050,640,181,1570,551,149
2011-11-12,538,60,233,137,847,526,205,1393,434,132
2011-11-19,516,27,77,95,760,456,186,1071,276,153
2011-11-26,418,19,47,47,601,392,146,925,304,114
2011-12-3,307,21,20,23,460,208,105,586,149,150
2011-12-10,273,50,33,36,408,114,84,506,62,51
2011-12-17,261,46,31,32,315,174,57,450,39,58
2011-12-24,218,34,41,7,194,98,27,394,13,61
2011-12-31,252,40,11,8,183,86,20,352,12,61
2012-1-7,208,107,43,6,234,103,44,430,8,35
2012-1-14,158,76,23,9,316,96,35,333,12,11
2012-1-21,175,30,33,7,208,81,40,334,2,14
2012-1-28,194,46,32,6,155,65,34,322,0,6
2012-2-4,174,84,20,5,150,64,30,264,3,11
2012-2-11,149,73,11,18,157,83,18,290,15,9
2012-2-18,160,78,10,13,178,63,32,259,6,13
2012-2-25,176,64,0,6,135,41,28,260,10,9
2012-3-3,166,74,14,7,149,71,12,246,19,8
2012-3-10,132,136,15,3,142,48,16,223,13,13
2012-3-17,146,134,8,0,109,46,19,192,19,7
2012-3-24,128,144,6,0,127,34,24,257,16,13
2012-3-31,125,196,14,4,106,24,19,316,14,15
2012-4-7,95,101,10,5,144,21,17,457,59,4
2012-4-14,129,183,8,3,158,14,27,780,46,8
2012-4-21,157,174,14,1,190,26,25,808,24,21
2012-4-28,169,182,8,40,177,40,17,1248,15,16
2012-5-5,161,389,9,19,229,61,28,1833,31,20
2012-5-12,244,503,6,21,147,71,33,1804,21,38
2012-5-19,413,568,3,17,175,147,27,2358,28,48
2012-5-26,424,561,13,21,174,132,23,2353,30,29
2012-6-2,365,457,15,16,234,135,40,1434,15,54
2012-6-9,372,417,14,28,237,147,19,1174,17,39
2012-6-16,394,423,8,14,156,92,21,1479,35,3
2012-6-23,434,335,1,19,142,68,33,1208,29,5
2012-6-30,290,283,11,14,91,72,26,760,85,4
2012-7-7,346,215,2,11,89,63,25,873,117,12
2012-7-14,455,171,0,17,72,92,26,670,64,13
2012-7-21,304,192,4,20,80,63,22,710,41,21
2012-7-28,311,206,12,29,60,71,73,475,75,20
2012-8-4,250,226,4,16,50,58,85,477,76,41
2012-8-11,211,217,14,11,49,83,36,523,82,56
2012-8-18,178,254,26,18,74,83,38,610,79,30
2012-8-25,177,231,23,12,81,96,44,573,127,31
2012-9-1,222,266,33,19,107,108,21,519,145,22
2012-9-8,249,280,42,8,112,170,46,823,94,82
2012-9-15,219,253,64,11,110,276,49,598,79,74
2012-9-22,223,227,90,13,145,243,41,596,104,74
2012-9-29,288,247,114,10,118,213,68,637,114,77
2012-10-6,333,325,143,22,136,284,70,628,136,63
2012-10-13,346,295,162,20,152,241,39,749,125,40
2012-10-20,344,290,203,34,118,249,38,1181,239,62
2012-10-27,306,287,173,23,167,244,30,1553,244,82
2012-11-3,310,309,103,61,215,197,41,1999,232,94
2012-11-10,277,443,133,65,216,197,50,1771,181,79
2012-11-17,304,389,123,65,470,320,40,1525,188,161
2012-11-24,344,494,139,69,562,344,33,1567,199,132
2012-12-1,309,408,130,51,501,267,35,1414,230,155
2012-12-8,274,362,138,58,461,272,45,1417,270,196
2012-12-15,340,321,194,38,471,241,41,1278,244,129
2012-12-22,300,289,162,67,362,168,44,913,249,91
2012-12-29,294,229,171,74,301,147,43,687,130,65
2013-1-5,443,309,211,54,396,134,49,636,98,61
2013-1-12,367,319,148,25,294,58,57,430,85,101
2013-1-19,264,206,72,17,222,28,53,450,64,30
2013-1-26,217,178,40,12,189,28,45,353,44,26
2013-2-2,303,223,40,11,217,16,51,300,26,45
2013-2-9,255,212,28,5,203,28,39,345,38,26
2013-2-16,215,171,13,2,228,29,36,367,17,9
2013-2-23,206,150,20,0,175,26,26,321,26,19
2013-3-2,215,144,32,0,145,35,13,325,12,12
2013-3-9,152,159,19,2,162,40,21,288,23,8
2013-3-16,129,188,24,2,135,36,15,209,6,2
2013-3-23,139,142,16,1,133,30,28,201,12,35
2013-3-30,142,94,16,3,113,21,30,202,7,48
2013-4-6,85,98,12,0,146,16,40,225,8,23
2013-4-13,109,99,12,0,182,9,53,194,10,16
2013-4-20,91,73,4,0,172,8,29,195,12,22
2013-4-27,113,87,8,0,170,8,23,192,8,15
2013-5-4,83,93,10,0,166,9,14,229,11,13
2013-5-11,96,85,18,0,127,1,29,300,8,23
2013-5-18,85,115,37,2,98,7,15,349,9,11
2013-5-25,94,116,38,2,86,8,9,426,9,16
2013-6-1,94,125,88,5,96,8,20,535,7,78
2013-6-8,118,109,61,7,99,5,10,616,15,70
2013-6-15,131,120,52,7,139,4,14,486,15,44
