loglik,loglik.se,betaB,mu_B,XthetaA,thetaI,lambdaR,r,std_W,epsilon,foi_add,k,sigma,gammaI,gammaA,rhoA,XrhoI,Rtot_0,H,D,mu,alpha,cases_ext,t_vacc_start,t_vacc_end,p1d_reg,r_v_year,cas_def
-1339.0569538078762,0.00655542016925807,1.5999442557166534e-4,114.92912395484674,0.26107304804899484,8.05650293211417,2.3360529456410295,1.141652876562616,0.004125420850503857,0.9830467326572357,7.353700833165088e-5,1.5947929768927385,0.25000000000000006,182.62499999999983,182.62499999999983,0.1250856164383562,1,0.35000000000000003,1727524,353,0.01586625546,1.4609999999999999,1,0,0,0,0,1
-1336.7457918280695,0.006066672321060214,0.005871829355724499,651.3135567691883,0.24982020589963724,0.024678126043678132,80.9306914447795,0.5289123586283483,9.181535311461297e-4,0.9754575117032095,5.287676730713831e-5,1.615659765537457,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353,0.01586625546,1.461,1,0,0,0,0,1
-1403.3455180214648,0.0015417815486730596,5.970271000432065,20.885650665647905,0.016960561809520054,0.7705483492673443,10.111234689455712,3.3953605851204576,0.001306767907781376,0.07480056242232681,0.033030305924736963,1.6126774067729115,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353,0.01586625546,1.461,1,0,0,0,0,1
-1353.663191426425,0.0861973860662965,0.01976312016987396,111.37321824307787,0.46534350299152333,1.400148081935332,0.6417089176052813,4.536556224619382,0.11892778360643975,0.4492077977668699,1.2518103241614616e-4,108.41174034084733,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353,0.01586625546,1.461,1,0,0,0,0,1
-1403.3425767451279,0.0011632638040027065,11.363493158641349,4.98951599272546,0.42914746760228606,33.87919095793622,0.7062601778612384,6.696871256734304,0.001121477826930265,0.07475564050090273,0.0012111815934309333,1.610862846910231,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35000000000000003,1727524,353,0.01586625546,1.461,1,0,0,0,0,1
-1529.9925964283952,0.13087500110934308,0.5361866406406629,90.50573744940077,0.4799618909000278,0.8651839951634468,0.06050515032471925,0.023038888813029283,0.16946553427931518,0.18376025588619305,1.094610995721633e-5,3891.188186144134,0.25000000000000006,182.62499999999983,182.62499999999983,0.1250856164383562,1,0.35,1727523.9999999998,352.99999999999994,0.015866255459999996,1.4609999999999999,1,0,0,0,0,1
-1403.5140327792271,0.0018064978913344004,10.690597185932646,13.11260247982444,0.135796655537665,1.0151411208742154,0.4637697969259785,0.19063917730082874,0.005135725706245696,0.07493525121982555,0.003573303338567113,1.6047088725245662,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353.00000000000006,0.01586625546,1.461,1,0,0,0,0,1
-1399.057886514344,0.0462396318342934,5.734585293737061,3640.213548981845,5.066171121379109e-4,0.9689676421698269,20.249096548019594,5.404041396790196,0.0042641974710894166,0.075692240374862,0.007419370999030872,1.8393738822535268,0.25,182.62499999999983,182.62499999999983,0.1250856164383562,1,0.35,1727524,352.99999999999994,0.015866255459999996,1.461,1,0,0,0,0,1
-1403.3451167619064,0.0013559443546987586,0.3553544011623936,0.8978161562562978,0.06353287765044195,0.27872789012495963,3.0713493145732707,1.8165590963855502,0.0013560053381447526,0.07479356942846638,0.0663597722722265,1.6069682221438126,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,352.99999999999994,0.01586625546,1.461,1,0,0,0,0,1
-1403.3596749277945,0.0013377604982473888,11.504299922571223,199.32075077283756,0.1928495975859963,2.88747791418749,26.599026826995384,9.910946779475823,0.001891507507293058,0.07486644581162274,3.8663301089029127e-4,1.6069131502693277,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353.00000000000006,0.015866255460000003,1.461,1,0,0,0,0,1
